File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3
id54.png,Full,323,734,3332.12474,0.22028,1726.104523,0.61051,0.535479,3.224011,5956.74144,1244.235284,6368.46128,4.033,11.53764,99.22043,1296.948022,1641.131554,248.911779,34.375316,0,0.859272,19.683451,522.056593,1083.858751,318.69871,81.972175,0,2.699482,61.837386,1640.089159,3405.090546,1001.221526,257.523182,0,0.054103,3.185533,169.1776,583.129975,332.286782,156.401291,0
id55.png,Full,165,996,2218.412648,0.44897,1064.894824,0.557807,0.508,2.390241,3971.529031,650.689726,3883.332815,4.442,13.57093,68.001956,987.906248,1022.236063,124.291456,2.405995,0,1.172345,13.301987,400.569356,655.079544,160.731311,5.179585,0,3.683029,41.789426,1258.547279,2058.088627,504.952306,16.272148,0,0.082354,2.124392,130.422464,340.864245,168.410357,8.785915,0
id57.png,Full,159,275,1382.194919,0.198959,722.79963,0.595996,0.550333,2.025817,2541.498426,468.424604,2587.423997,2.834,4.442766,51.347332,507.934522,700.492527,117.799672,0.178101,0,0.32594,10.05517,199.599886,463.920605,149.320389,0.357839,0,1.02397,31.589249,627.061534,1457.521223,469.103836,1.124184,0,0.02034,1.610052,63.352252,249.809624,153.06765,0.564685,0
id58.png,Full,302,2258,4213.683656,0.535873,2010.349922,0.592292,0.523634,3.306339,7005.169515,1452.83767,7819.213291,4.993,23.161753,147.346904,1749.760333,1950.758952,327.427293,15.228419,0,1.991304,29.666771,685.421858,1314.831218,419.992749,36.785687,0,6.255865,93.200909,2153.545295,4131.059877,1319.446136,115.705208,0,0.139535,4.839705,216.304536,721.81071,438.524605,71.218578,0
id60.png,Full,202,1549,3087.308326,0.501732,1469.783351,0.560974,0.509761,2.101798,5429.054768,901.472642,5433.151256,7.176,16.685848,67.175833,1396.400474,1443.839096,162.452962,0.754114,0,1.490862,13.405635,565.480849,939.629769,207.638083,1.561539,0,4.683681,42.115046,1776.789376,2952.13916,652.518272,4.90572,0,0.107214,2.173667,183.709929,497.465916,215.475725,2.540191,0
id61.png,Full,101,245,1038.912974,0.235823,552.444684,0.627047,0.550333,2.185401,1838.105771,382.03605,2038.256591,1,1.763732,12.653714,401.615977,513.390065,108.85874,0.630745,0,0.128388,2.489382,163.908607,345.787025,135.155542,1.328279,0,0.403342,7.820625,514.934076,1086.321978,424.603659,4.172912,0,0.007844,0.401121,53.595976,190.092144,135.740419,2.198546,0
id62.png,Full,193,461,2315.440593,0.199098,1147.63973,0.57074,0.511516,2.472789,4208.57107,690.300126,4136.003461,2.729,1.342526,26.321817,1027.044642,1131.536748,125.752321,3.442538,0,0.099647,5.4776,422.188125,721.661657,159.600903,7.502858,0,0.313051,17.208387,1326.343113,2267.166961,501.401025,23.570923,0,0.006219,0.920729,139.041939,373.756088,163.688201,12.88695,0
id63.png,Full,182,1322,2711.703325,0.487516,1392.318452,0.612465,0.550333,3.710149,4751.466009,1004.006931,5215.112298,5.594,12.831601,43.646404,998.998444,1464.911838,163.973223,27.341814,0,1.146069,8.49688,410.421529,962.205809,209.621386,67.99129,0,3.600482,26.693737,1289.564372,3023.107762,658.545007,213.600938,0,0.082036,1.347028,134.949165,513.482579,218.056123,136.09,0
id64.png,Full,146,296,1733.140433,0.170788,919.880777,0.60286,0.550333,2.782753,3196.753111,582.644488,3276.096564,2.207,0.77528,17.181405,657.998111,931.744131,121.067376,4.37413,0,0.056167,3.696086,271.774441,604.9559,152.122544,10.197382,0,0.176453,11.611597,853.804586,1900.560841,477.907067,32.03602,0,0.003447,0.637237,89.917463,318.842077,154.422925,18.821339,0
id65.png,Full,192,1563,3223.997325,0.484802,1434.704568,0.523148,0.465667,2.098811,5668.900611,823.564436,5290.764486,5.22,14.003806,74.774604,1751.873582,1230.29525,152.773413,0.276671,0,1.288571,15.217026,686.847222,789.603095,190.513103,0.568344,0,4.048164,47.805697,2157.929543,2480.68101,598.514566,1.785506,0,0.09416,2.510696,216.327857,411.869589,191.844974,0.917161,0
